 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
 freq       soil_lyr  soil_depth        jday         mon         day          yr        unit                gis_id    name                 sut        tillagef       cons_bmix tillagef_biomix tillagef_tillmix       till_eff            cdg             ox             cs            no3            nh4       co2_resp      soil_temp           emix
 day              1          10           1           1           1        1975           1                     1 hru0001           0.7150851      5.2727284E-03  9.9999998E-03  5.2727284E-03  0.0000000E+00   1.005273      0.3104393      0.9999998      0.4262786      0.3326858      0.5447554       2.414248       8.239979      0.0000000E+00
 day              2          25           1           1           1        1975           1                     1 hru0001           0.7162194      5.2727284E-03  9.9999998E-03  5.2727284E-03  0.0000000E+00   1.005273      0.3112143      0.9999998      0.4271487       1.286015      0.0000000E+00   2.188232       8.256558      0.0000000E+00
 day              3          50           1           1           1        1975           1                     1 hru0001           0.7222652      5.2727284E-03  9.9999998E-03  5.2727284E-03  0.0000000E+00   1.005273      0.3124501      0.9999993      0.4297984       2.097564      0.0000000E+00   3.669678       8.282991      0.0000000E+00
 day              4         100           1           1           1        1975           1                     1 hru0001           0.7274632      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3147517      0.9999964      0.4306560       4.497039      0.0000000E+00   5.392068       8.332196      0.0000000E+00
 day              5         150           1           1           1        1975           1                     1 hru0001           0.7310826      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3177837      0.9999804      0.4337935       4.277716      0.0000000E+00   5.431350       8.396965      0.0000000E+00
 day              6         200           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3207658      0.9999107      0.4373746      5.1121235E-02   4.247215       3.262052       8.460616      0.0000000E+00
 day              7         300           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3251293      0.9992469      0.4400471      0.2993693       7.479222       6.563967       8.553665      0.0000000E+00
 day              8         450           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3320598      0.9787498      0.4355901      0.7017260       9.340918       9.746229       8.701254      0.0000000E+00
 day              9         600           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3397317      0.5428548      0.2443711      0.4801826       8.163600       5.467749       8.864375      0.0000000E+00
 day             10         750           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3466436      0.2131508      9.6922979E-02  0.2131243       7.226648       2.168629       9.011138      0.0000000E+00
 day             11         900           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3527851      0.2003133      9.1888927E-02  0.1641026       6.410140       1.552429       9.141405      0.0000000E+00
 day             12        1050           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3581829      0.2000076      9.2447937E-02  8.2366943E-02   5.796596      0.7409064       9.255807      0.0000000E+00
 day             13        1200           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3628874      0.2000002      9.3049608E-02  8.5935116E-02   4.974134      0.7457283       9.355453      0.0000000E+00
 day             14        1500           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3687839      0.2000000      9.3802437E-02  0.1817713       7.315421       1.503525       9.480281      0.0000000E+00
 day             15        1800           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3748356      0.2000000      9.4568960E-02  0.1887736       5.365283       1.515812       9.608334      0.0000000E+00
 day             16        2000           1           1           1        1975           1                     1 hru0001           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3786317      0.2000000      9.5046625E-02  0.1282413       2.903275       1.015645       9.688631      0.0000000E+00
 day              1          10           1           1           1        1975           2                     1 hru0002           0.7008560      5.2388385E-03  9.9999998E-03  5.2388385E-03  0.0000000E+00   1.005239      0.3085509      0.9999998      0.4207164      0.1635377      0.5702446       1.186549       8.199556      0.0000000E+00
 day              2          25           1           1           1        1975           2                     1 hru0002           0.7027692      5.2388385E-03  9.9999998E-03  5.2388385E-03  0.0000000E+00   1.005239      0.3092601      0.9999998      0.4217741       1.069098      0.0000000E+00   1.081047       8.214740      0.0000000E+00
 day              3          50           1           1           1        1975           2                     1 hru0002           0.7129241      5.2388385E-03  9.9999998E-03  5.2388385E-03  0.0000000E+00   1.005239      0.3103916      0.9999993      0.4255867       1.747969      0.0000000E+00   1.818031       8.238956      0.0000000E+00
 day              4         100           1           1           1        1975           2                     1 hru0002           0.7215998      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3125010      0.9999964      0.4273806       5.478793      0.0000000E+00   8.479927       8.284080      0.0000000E+00
 day              5         150           1           1           1        1975           2                     1 hru0002           0.7276115      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3152843      0.9999804      0.4310573       5.211588      0.0000000E+00   8.552877       8.343577      0.0000000E+00
 day              6         200           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3180287      0.9999107      0.4355044      5.9386253E-02   4.955339       3.789454       8.402195      0.0000000E+00
 day              7         300           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3220596      0.9992469      0.4379648      0.3476114       8.727412       7.621725       8.488216      0.0000000E+00
 day              8         450           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3285107      0.9787498      0.4332561      0.8142929       10.90212       11.30967       8.625702      0.0000000E+00
 day              9         600           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3357433      0.5428548      0.2429325      0.5569153       9.527498       6.341485       8.779605      0.0000000E+00
 day             10         750           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3423662      0.2131508      9.6323147E-02  0.2471066       8.432628       2.514410       8.920337      0.0000000E+00
 day             11         900           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3483572      0.2003133      9.1310456E-02  0.1937771       7.618458       1.833152       9.047498      0.0000000E+00
 day             12        1050           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3537230      0.2000076      9.1870569E-02  9.9757671E-02   7.065217      0.8973387       9.161289      0.0000000E+00
 day             13        1200           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3584908      0.2000002      9.2484206E-02  0.1040969       6.062853      0.9033323       9.262329      0.0000000E+00
 day             14        1500           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3646112      0.2000000      9.3270272E-02  0.2202768       8.916930       1.822026       9.391953      0.0000000E+00
 day             15        1800           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3711020      0.2000000      9.4096795E-02  0.2289190       6.540090       1.838172       9.529339      0.0000000E+00
 day             16        2000           1           1           1        1975           2                     1 hru0002           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3753122      0.2000000      9.4629064E-02  0.1556072       3.539051       1.232378       9.618416      0.0000000E+00
 day              1          10           1           1           1        1975           3                     1 hru0003           0.7150851      5.2726199E-03  9.9999998E-03  5.2726199E-03  0.0000000E+00   1.005273      0.3104381      0.9999998      0.4262777      0.5917835      0.3901148       4.248066       8.239952      0.0000000E+00
 day              2          25           1           1           1        1975           3                     1 hru0003           0.7162194      5.2726199E-03  9.9999998E-03  5.2726199E-03  0.0000000E+00   1.005273      0.3112098      0.9999998      0.4271456       1.439112      0.0000000E+00   5.099748       8.256463      0.0000000E+00
 day              3          50           1           1           1        1975           3                     1 hru0003           0.7222652      5.2726199E-03  9.9999998E-03  5.2726199E-03  0.0000000E+00   1.005273      0.3124406      0.9999993      0.4297918       2.347274      0.0000000E+00   8.552233       8.282788      0.0000000E+00
 day              4         100           1           1           1        1975           3                     1 hru0003           0.7274632      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3147330      0.9999964      0.4306432       4.655390      0.0000000E+00   11.96092       8.331795      0.0000000E+00
 day              5         150           1           1           1        1975           3                     1 hru0003           0.7310826      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3177529      0.9999804      0.4337724       4.428344      0.0000000E+00   12.04784       8.396306      0.0000000E+00
 day              6         200           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3207234      0.9999107      0.4373456      5.1117420E-02   4.247219       3.261836       8.459710      0.0000000E+00
 day              7         300           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3250706      0.9992469      0.4400073      0.2993422       7.479249       6.563375       8.552413      0.0000000E+00
 day              8         450           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3319773      0.9787498      0.4355361      0.7016382       9.341005       9.745019       8.699498      0.0000000E+00
 day              9         600           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3396267      0.5428548      0.2443334      0.4801092       8.163673       5.466903       8.862145      0.0000000E+00
 day             10         750           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3465229      0.2131508      9.6906111E-02  0.2130871       7.226686       2.168252       9.008577      0.0000000E+00
 day             11         900           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3526548      0.2003133      9.1871955E-02  0.1640720       6.410170       1.552142       9.138643      0.0000000E+00
 day             12        1050           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3580482      0.2000076      9.2430539E-02  8.2351208E-02   5.796611      0.7407669       9.252953      0.0000000E+00
 day             13        1200           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3627523      0.2000002      9.3032286E-02  8.5919380E-02   4.974150      0.7455896       9.352593      0.0000000E+00
 day             14        1500           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3686538      0.2000000      9.3785904E-02  0.1817393       7.315453       1.503260       9.477530      0.0000000E+00
 day             15        1800           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3747185      0.2000000      9.4554193E-02  0.1887441       5.365313       1.515575       9.605855      0.0000000E+00
 day             16        2000           1           1           1        1975           3                     1 hru0003           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3785276      0.2000000      9.5033556E-02  0.1282237       2.903293       1.015505       9.686428      0.0000000E+00
 day              1          10           1           1           1        1975           4                     1 hru0004           0.7150851      5.2724984E-03  9.9999998E-03  5.2724984E-03  0.0000000E+00   1.005273      0.3104367      0.9999998      0.4262767      0.5585555      0.3397770       4.012887       8.239921      0.0000000E+00
 day              2          25           1           1           1        1975           4                     1 hru0004           0.7162194      5.2724984E-03  9.9999998E-03  5.2724984E-03  0.0000000E+00   1.005273      0.3112049      0.9999998      0.4271421       1.316634      0.0000000E+00   4.726336       8.256356      0.0000000E+00
 day              3          50           1           1           1        1975           4                     1 hru0004           0.7222652      5.2724984E-03  9.9999998E-03  5.2724984E-03  0.0000000E+00   1.005273      0.3124298      0.9999993      0.4297844       2.147506      0.0000000E+00   7.925956       8.282558      0.0000000E+00
 day              4         100           1           1           1        1975           4                     1 hru0004           0.7274632      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3147117      0.9999964      0.4306286       4.212021      0.0000000E+00   12.07443       8.331340      0.0000000E+00
 day              5         150           1           1           1        1975           4                     1 hru0004           0.7310826      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3177179      0.9999804      0.4337486       4.006598      0.0000000E+00   12.16191       8.395560      0.0000000E+00
 day              6         200           1           1           1        1975           4                     1 hru0004           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3206754      0.9999107      0.4373129      5.2817822E-02   4.388797       3.370312       8.458686      0.0000000E+00
 day              7         300           1           1           1        1975           4                     1 hru0004           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3250042      0.9992469      0.4399623      0.3092890       7.728597       6.781466       8.550997      0.0000000E+00
 day              8         450           1           1           1        1975           4                     1 hru0004           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3318840      0.9787498      0.4354748      0.7249250       9.652486       10.06845       8.697512      0.0000000E+00
 day              9         600           1           1           1        1975           4                     1 hru0004           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3395079      0.5428548      0.2442906      0.4960260       8.435894       5.648153       8.859621      0.0000000E+00
 day             10         750           1           1           1        1975           4                     1 hru0004           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3463861      0.2131508      9.6886985E-02  0.2201467       7.467628       2.240087       9.005675      0.0000000E+00
