 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
 freq       soil_lyr  soil_depth        jday         mon         day          yr        unit                gis_id name                   cfmets1        cfstrs1        cfstrs2        efmets1        efstrs1        efstrs2       immmets1       immstrs1       immstrs2       mnrmets1       mnrstrs1       mnrstrs2        co2fmet        co2fstr         cfs1s2         cfs1s3         cfs2s1         cfs2s3         cfs3s1         efs1s2         efs1s3         efs2s1         efs2s3         efs3s1        imms1s2        imms1s3        imms2s1        imms2s3        imms3s1        mnrs1s2        mnrs1s3        mnrs2s1        mnrs2s3        mnrs3s1         co2fs1         co2fs2         co2fs3
                              mm                                                                                                          kg_C/ha        kg_C/ha        kg_C/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_C/ha        kg_C/ha
 day               1          10           1           1           1        1975           1                     1 hru0001            1.450198      1.1395268E-03  7.9766866E-03  7.2509915E-02  5.6143803E-05  3.1906748E-04  0.0000000E+00  8.3254054E-07  0.0000000E+00  7.2509915E-02  0.0000000E+00  7.3939096E-05   2.175298      5.1278705E-03  0.1459001      3.2210168E-03  3.5046708E-02  4.1954196E-03  2.9460515E-03  5.8360044E-03  1.2884068E-04  1.7523353E-03  4.1954196E-04  1.4730258E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2401510E-02  2.7378643E-04  1.7523353E-03  0.0000000E+00  1.4730264E-04  0.1822592      4.7962602E-02  3.6007299E-03
 day               2          25           1           1           1        1975           1                     1 hru0001            1.605914      1.4102650E-03  8.7749800E-03  0.1605915      1.8608607E-05  1.1578687E-04  0.3693604      4.4677884E-04  6.1253645E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.962784      5.4843631E-03  0.1835258      3.4686769E-03  3.2652758E-02  3.9088414E-03  4.4280980E-03  1.5232644E-02  2.8790018E-04  3.2652756E-03  3.9088412E-04  4.4280980E-04  0.0000000E+00  0.0000000E+00  7.5101350E-03  1.6808021E-04  1.0184626E-03  7.7080848E-03  1.4568443E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1698653      4.4686399E-02  5.4121204E-03
 day               3          50           1           1           1        1975           1                     1 hru0001            2.693127      2.3650210E-03  1.4715687E-02  0.2693127      3.1206720E-05  1.9417515E-04  0.6194192      7.4925023E-04  1.0272269E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   3.291600      9.1973050E-03  0.3077738      5.8169896E-03  5.4758839E-02  6.5551470E-03  7.4259434E-03  2.5545225E-02  4.8281014E-04  5.4758838E-03  6.5551471E-04  7.4259425E-04  0.0000000E+00  0.0000000E+00  1.2594532E-02  2.8187135E-04  1.7079671E-03  1.2926500E-02  2.4431356E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2848649      7.4939325E-02  9.0761539E-03
 day               4         100           1           1           1        1975           1                     1 hru0001            3.943212      3.3368957E-03  2.0762900E-02  0.3943212      2.2245971E-05  1.3841935E-04  0.7494388      9.4564719E-04  1.5501572E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   4.819481      1.2976815E-02  0.4669083      8.8246651E-03  8.3071932E-02  9.9444902E-03  1.1265532E-02  3.7972074E-02  7.1768020E-04  8.3071925E-03  9.9444902E-04  1.1265532E-03  0.0000000E+00  0.0000000E+00  1.5788483E-02  4.0451763E-04  2.1411041E-03  2.0391464E-02  3.8540293E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.4321544      0.1136867      1.3768985E-02
 day               5         150           1           1           1        1975           1                     1 hru0001            3.971939      3.3612063E-03  2.0914167E-02  0.3971939      2.2408041E-05  1.3942778E-04  0.5930663      8.1558793E-04  1.5110192E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   4.854592      1.3071356E-02  0.4703099      8.8889562E-03  8.3677135E-02  1.0016939E-02  1.1347606E-02  3.7114628E-02  7.0147426E-04  8.3677126E-03  1.0016939E-03  1.1347606E-03  0.0000000E+00  0.0000000E+00  1.2494172E-02  3.8005249E-04  1.6943569E-03  2.1674104E-02  4.0964526E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.4353028      0.1145150      1.3869298E-02
 day               6         200           1           1           1        1975           1                     1 hru0001            2.385534      2.0187295E-03  1.2560980E-02  0.2385534      1.3458197E-05  8.3739869E-05  0.2860920      4.3051675E-04  8.8032248E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00   2.915653      7.8506134E-03  0.2824666      5.3386781E-03  5.0256208E-02  6.0161394E-03  6.8153343E-03  2.1679470E-02  4.0974657E-04  5.0256206E-03  6.0161389E-04  6.8153348E-04  0.0000000E+00  0.0000000E+00  6.0271220E-03  2.1318137E-04  8.1734871E-04  1.3628853E-02  2.5758820E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2614414      6.8777315E-02  8.3298534E-03
 day               7         300           1           1           1        1975           1                     1 hru0001            4.800220      4.0621287E-03  2.5275460E-02  0.4800220      2.7080860E-05  1.6850307E-04  0.3861804      7.0593250E-04  1.6774212E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   5.866936      1.5797164E-02  0.5683851      1.0742598E-02  0.1011266      1.2105801E-02  1.3713957E-02  4.1510455E-02  7.8455632E-04  1.0112657E-02  1.2105801E-03  1.3713957E-03  0.0000000E+00  0.0000000E+00  8.1356904E-03  3.7548447E-04  1.1032956E-03  2.9537685E-02  5.5826845E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.5260779      0.1383951      1.6761504E-02
 day               8         450           1           1           1        1975           1                     1 hru0001            7.127403      6.0314806E-03  3.7529204E-02  0.7127402      4.0209870E-05  2.5019469E-04  0.3263683      8.3912344E-04  2.3253881E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   8.711271      2.3455754E-02  0.8439425      1.5950691E-02  0.1501535      1.7974786E-02  2.0362588E-02  5.7918727E-02  1.0946761E-03  1.5015354E-02  1.7974786E-03  2.0362588E-03  0.0000000E+00  0.0000000E+00  6.8756230E-03  4.5999046E-04  9.3241548E-04  4.7574081E-02  8.9916028E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.7811244      0.2054902      2.4887608E-02
 day               9         600           1           1           1        1975           1                     1 hru0001            3.998556      3.3837305E-03  2.1054316E-02  0.3998556      2.2558203E-05  1.4036210E-04  0.1003949      4.0077281E-04  1.2332818E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   4.887125      1.3158949E-02  0.4734615      8.9485226E-03  8.4237874E-02  1.0084064E-02  1.1423648E-02  3.0889986E-02  5.8382726E-04  8.4237875E-03  1.0084064E-03  1.1423648E-03  0.0000000E+00  0.0000000E+00  2.1150261E-03  2.1446927E-04  2.8682256E-04  2.8292706E-02  5.3473806E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.4382199      0.1152824      1.3962238E-02
