 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      plant_cov       mgt_ops                       
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
     1     1     1  1975       1       1  hru0001        0.000       0.000       1.432       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       cosy_comm       mgt_01                        
     1     1     1  1975       2       1  hru0002        0.000       0.000       1.669       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       corn_comm       mgt_08                        
     1     1     1  1975       3       1  hru0003        0.000       0.000       2.056       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       cosy_comm       mgt_01                        
     1     1     1  1975       4       1  hru0004        0.000       0.000       2.055       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       cosy_comm       mgt_01                        
     1     1     1  1975       5       1  hru0005        0.000       0.000       2.140       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       cosy_comm       mgt_01                        
     1     1     1  1975       6       1  hru0006        0.000       0.000       2.234       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       cosy_comm       mgt_01                        
     1     1     1  1975       7       1  hru0007        0.000       0.000       1.385       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       cosy_comm       mgt_01                        
     1     1     1  1975       8       1  hru0008        0.000       0.000       1.505       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       cosy_comm       mgt_01                        
     1     1     1  1975       9       1  hru0009        0.000       0.000       2.080       0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000       cosy_comm       mgt_01                        
