 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro   plant_cov       mgt_ops                    
                                                             m**2/m**2        kgha        kgha        kgha        degc        ----        ----        ----        ----        ----        ----        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
     1     1     1  1975       1       1  hru0001                0.000       0.000       0.000   19645.289       8.257       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975       2       1  hru0002                0.000       0.000       0.000    9824.258       8.215       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   corn_comm       mgt_08                        
     1     1     1  1975       3       1  hru0003                0.000       0.000       0.000   19645.293       8.256       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975       4       1  hru0004                0.000       0.000       0.000   19645.297       8.256       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975       5       1  hru0005                0.000       0.000       0.000   19645.297       8.256       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975       6       1  hru0006                0.000       0.000       0.000   19645.297       8.256       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975       7       1  hru0007                0.000       0.000       0.000   19645.289       8.257       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975       8       1  hru0008                0.000       0.000       0.000   19645.324       8.255       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975       9       1  hru0009                0.000       0.000       0.000   19645.297       8.256       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975      10       1  hru0010                0.000       0.000       0.000   19645.305       8.256       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975      11       1  hru0011                0.000       0.000       0.000   19645.328       8.254       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     1     1     1  1975      12       1  hru0012                0.000       0.000       0.000   19645.309       8.255       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.074      -7.825       2.625      10.390       3.425       0.615       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975       1       1  hru0001                0.000       0.000       0.000   19312.340       7.185       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      12.250     -11.336       0.457      10.390       7.440       0.350       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975       2       1  hru0002                0.000       0.000       0.000    9660.698       7.097       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      12.250     -11.336       0.457      10.390       7.440       0.350       0.001       0.000       0.000       0.000       0.000   corn_comm       mgt_08                        
     2     1     2  1975       3       1  hru0003                0.000       0.000       0.000   19312.348       7.185       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      12.250     -11.336       0.457      10.390       7.440       0.350       0.001       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
