 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737ctotal sequestered soil carbon (Mg/ha) by layer depth in mm
 freq           jday         mon         day        year        unit hru     name              Seq_300_sum          10             25             50            100            150            200            300            450            600            750            900           1050           1200           1500           1800           2000   
 day               1           1           1        1975           1 hru     hru0001            39.22438       2.029048       3.043131       5.071899       7.678867       7.678893       4.574174       9.148373       13.72250       13.71979       13.71771       10.22552       4.756546       4.756549       9.513118       9.513125       6.342083    
 day               1           1           1        1975           2 hru     hru0002            45.42782       1.016220       1.524118       2.540206       12.16881       12.16886       5.336526       10.67308       16.00954       16.00640       16.00398       12.15107       5.797028       5.797031       11.59411       11.59412       7.729405    
 day               1           1           1        1975           3 hru     hru0003            71.86900       4.815437       7.223517       12.03922       17.03411       17.03416       4.574173       9.148373       13.72250       13.71979       13.71771       10.22552       4.756546       4.756549       9.513118       9.513125       6.342083    
 day               1           1           1        1975           4 hru     hru0004            70.86401       4.458114       6.687429       11.14575       17.19634       17.19640       4.726647       9.453327       14.17993       14.17713       14.17498       10.42472       4.756546       4.756549       9.513117       9.513125       6.342083    
 day               1           1           1        1975           5 hru     hru0005            75.96397       5.713991       8.571605       14.28604       16.74339       16.74344       4.635162       9.270348       13.90547       13.90273       13.90062       10.33098       4.786756       4.786759       9.573537       9.573545       6.382362    
 day               1           1           1        1975           6 hru     hru0006            80.28490       5.515613       8.273980       13.79000       19.26263       19.26270       4.726647       9.453327       14.17993       14.17713       14.17498       10.42472       4.756546       4.756549       9.513117       9.513124       6.342083    
 day               1           1           1        1975           7 hru     hru0007            36.78568       1.877501       2.815766       4.692959       6.838440       6.838462       4.574174       9.148374       13.72250       13.71979       13.71771       10.22552       4.756546       4.756549       9.513118       9.513125       6.342083    
 day               1           1           1        1975           8 hru     hru0008            40.33670      0.5926020      0.8880469       1.480083       11.59799       11.59802       4.726644       9.453320       14.17991       14.17712       14.17498       11.22148       5.648380       5.648384       11.29678       11.29679       7.531192    
 day               1           1           1        1975           9 hru     hru0009            72.50753       5.980985       8.972174       14.95366       14.21034       14.21039       4.726647       9.453326       14.17993       14.17713       14.17498       10.42472       4.756546       4.756549       9.513117       9.513124       6.342083    
 day               1           1           1        1975          10 hru     hru0010            66.81178       4.928853       7.393673       12.32282       13.99321       13.99326       4.726646       9.453324       14.17992       14.17713       14.17498       10.63716       4.994355       4.994359       9.988712       9.988721       6.659155    
 day               1           1           1        1975          11 hru     hru0011            74.79404       6.613595       9.921270       16.53550       12.71978       12.71982       5.428014       10.85605       16.28400       16.28079       16.27833       12.35027       5.886216       5.886220       11.77246       11.77246       7.848319    
 day               1           1           1        1975          12 hru     hru0012            68.90152       5.673012       8.510129       14.18358       13.04017       13.04021       4.818131       9.636290       14.45437       14.45152       14.44933       10.75668       4.994355       4.994358       9.988712       9.988720       6.659154    
 day               2           1           2        1975           1 hru     hru0001            39.24131       2.030747       3.044402       5.074045       7.681911       7.681980       4.576047       9.152174       13.72821       13.72308       13.71904       10.22647       4.757001       4.757010       9.514053       9.514075       6.342722    
 day               2           1           2        1975           2 hru     hru0002            45.44641       1.017038       1.524737       2.541256       12.17356       12.17367       5.338691       10.67747       16.01613       16.01019       16.00552       12.15219       5.797574       5.797585       11.59524       11.59527       7.730178    
 day               2           1           2        1975           3 hru     hru0003            71.89835       4.817742       7.226406       12.04410       17.04086       17.04101       4.576047       9.152172       13.72821       13.72308       13.71904       10.22647       4.757001       4.757010       9.514053       9.514075       6.342722    
 day               2           1           2        1975           4 hru     hru0004            70.89303       4.460342       6.690110       11.15028       17.20315       17.20331       4.728583       9.457253       14.18583       14.18053       14.17636       10.42569       4.757000       4.757010       9.514053       9.514074       6.342721    
 day               2           1           2        1975           5 hru     hru0005            75.99475       5.716492       8.575016       14.29180       16.75002       16.75017       4.637060       9.274198       13.91126       13.90607       13.90197       10.33194       4.787210       4.787219       9.574471       9.574493       6.383001    
 day               2           1           2        1975           6 hru     hru0006            80.31744       5.518071       8.277274       13.79556       19.27027       19.27044       4.728582       9.457253       14.18583       14.18053       14.17636       10.42569       4.757000       4.757009       9.514052       9.514074       6.342721    
 day               2           1           2        1975           7 hru     hru0007            36.80166       1.879167       2.816950       4.694956       6.841150       6.841211       4.576047       9.152175       13.72822       13.72308       13.71904       10.22647       4.757001       4.757010       9.514053       9.514075       6.342722    
 day               2           1           2        1975           8 hru     hru0008            40.35435      0.5939875      0.8884839       1.480820       11.60258       11.60267       4.728574       9.457231       14.18579       14.18050       14.17634       11.22252       5.648915       5.648925       11.29789       11.29791       7.531947    
 day               2           1           2        1975           9 hru     hru0009            72.53687       5.983544       8.975740       14.95968       14.21597       14.21610       4.728581       9.457252       14.18583       14.18053       14.17636       10.42569       4.757000       4.757009       9.514051       9.514073       6.342721    
 day               2           1           2        1975          10 hru     hru0010            66.83907       4.931183       7.396627       12.32781       13.99875       13.99888       4.728580       9.457246       14.18581       14.18052       14.17635       10.63815       4.994831       4.994840       9.989692       9.989716       6.659824    
 day               2           1           2        1975          11 hru     hru0011            74.82413       6.616292       9.925200       16.54213       12.72482       12.72492       5.430229       10.86054       16.29073       16.28467       16.27990       12.35141       5.886773       5.886784       11.77360       11.77363       7.849105    
 day               2           1           2        1975          12 hru     hru0012            68.92947       5.675505       8.513515       14.18930       13.04533       13.04544       4.820102       9.640285       14.46037       14.45497       14.45073       10.75768       4.994830       4.994840       9.989690       9.989715       6.659824    
