unit_name,unit_kind,source_file,start_line,parent_unit,reachable_from_main,depth_from_main,first_path_from_main,called_by_known,called_by_reachable_from_main,calls_known_local,calls_known_local_count,calls_unresolved_or_external,calls_ambiguous_local_names,raw_call_sites
main,program,SWATPLUS/swatplus/src/main.f90.in,1,,yes,0,main,,,cal_cond_read;cal_parmchg_read;calhard_control;calsoft_control;cli_lapse;command;cs_cha_read;dr_db_read;dr_ru;dtbl_flocon_read;dtbl_lum_read;dtbl_res_read;dtbl_scen_read;exco_db_read;hru_dtbl_actions_init;hru_lte_read;hyd_connect;hyd_connect_out;lsu_read_elements;manure_allocation_read;object_read_output;om_osrc_read;om_treat_read;om_use_read;om_water_init;path_cha_res_read;pest_cha_res_read;proc_aqu;proc_bsn;proc_cal;proc_cha;proc_cond;proc_date_time;proc_db;proc_hru;proc_open;proc_read;proc_res;recalldb_read;res_read_weir;salt_cha_read;soil_nutcarb_init;swift_output;time_control;unit_hyd_ru_hru;water_allocation_read;water_canal_read;water_pipe_read;water_tower_read;water_treatment_read;water_use_read;wet_all_initial;wet_fp_init;wet_read;wet_read_hyd;wet_read_salt_cs,56,date_and_time,,proc_bsn:40;proc_date_time:41;proc_db:42;proc_read:43;hyd_connect:45;recalldb_read:46;exco_db_read:47;dr_db_read:48;cli_lapse:59;object_read_output:60;om_water_init:62;pest_cha_res_read:63;path_cha_res_read:64;salt_cha_read:65;cs_cha_read:66;lsu_read_elements:68;proc_hru:70;proc_cha:71;proc_aqu:72;dtbl_lum_read:75;hru_lte_read:77;proc_cond:79;res_read_weir:81;dtbl_res_read:82;dtbl_scen_read:83;cal_cond_read:85;manure_allocation_read:88;dtbl_flocon_read:90;om_treat_read:93;om_use_read:94;om_osrc_read:95;water_treatment_read:96;water_use_read:97;water_tower_read:99;water_pipe_read:100;water_canal_read:101;water_allocation_read:102;hru_dtbl_actions_init:104;proc_res:107;wet_read_hyd:108;wet_read:109;wet_read_salt_cs:110;wet_all_initial:111;wet_fp_init:112;proc_cal:118;soil_nutcarb_init:123;proc_open:126;unit_hyd_ru_hru:130;dr_ru:132;hyd_connect_out:134;command:148;time_control:150;calsoft_control:153;cal_parmchg_read:157;calhard_control:158;swift_output:162;date_and_time:169
cal_cond_read,subroutine,SWATPLUS/swatplus/src/cal_cond_read.f90,1,,yes,1,main > cal_cond_read,main,main,,0,,,
cal_parmchg_read,subroutine,SWATPLUS/swatplus/src/cal_parmchg_read.f90,1,,yes,1,main > cal_parmchg_read,main;proc_cal,main;proc_cal,define_unit_elements,1,,,define_unit_elements:151
calhard_control,subroutine,SWATPLUS/swatplus/src/calhard_control.f90,1,,yes,1,main > calhard_control,main,main,re_initialize;time_control,2,,,re_initialize:12;time_control:16
calsoft_control,subroutine,SWATPLUS/swatplus/src/calsoft_control.f90,1,,yes,1,main > calsoft_control,main,main,calsoft_hyd;calsoft_hyd_bfr;calsoft_plant;calsoft_sed;caltsoft_hyd;pl_write_parms_cal,6,,,calsoft_hyd:40;calsoft_hyd_bfr:42;caltsoft_hyd:64;calsoft_plant:95;calsoft_sed:100;pl_write_parms_cal:130
cli_lapse,subroutine,SWATPLUS/swatplus/src/cli_lapse.f90,1,,yes,1,main > cli_lapse,main;res_control;sd_channel_control3,main;res_control;sd_channel_control3,,0,,,
command,subroutine,SWATPLUS/swatplus/src/command.f90,1,,yes,1,main > command,main;time_control,main;time_control,aqu_1d_control;aqu_cs_output;aqu_pesticide_output;aqu_salt_output;aquifer_output;basin_aqu_pest_output;basin_aquifer_output;basin_ch_pest_output;basin_chanbud_output;basin_chanmorph_output;basin_channel_output;basin_ls_pest_output;basin_output;basin_recall_output;basin_res_pest_output;basin_reservoir_output;basin_sdchannel_output;ch_cs_output;ch_salt_output;cha_pesticide_output;channel_output;constit_hyd_mult;cs_balance;cs_str_output;flow_dur_curve;gwflow_simulate;hru_carbon_output;hru_control;hru_cs_output;hru_lte_control;hru_lte_output;hru_output;hru_pathogen_output;hru_pesticide_output;hru_salt_output;hyddep_output;hydin_output;hydout_output;lsu_carbon_output;lsu_output;manure_demand_output;manure_source_output;obj_output;recall_cs;recall_nut;recall_output;recall_salt;res_control;res_cs_output;res_pesticide_output;res_salt_output;reservoir_output;ru_control;ru_cs_output;ru_output;ru_salt_output;salt_balance;sd_chanbud_output;sd_chanmorph_output;sd_channel_control3;sd_channel_output;soil_carbvar_write;soil_carbvar_write_legacy;soil_nutcarb_write;soil_nutcarb_write_legacy;wallo_allo_output;wallo_control;wallo_treat_output;wallo_trn_output;wallo_use_output;wet_cs_output;wet_salt_output;wetland_output,73,,,wallo_control:87;hru_control:295;hyddep_output:296;hru_lte_control:300;ru_control:305;hyddep_output:306;gwflow_simulate:309;aqu_1d_control:317;res_control:330;recall_nut:346;recall_salt:370;recall_cs:371;constit_hyd_mult:380;sd_channel_control3:393;wallo_control:434;flow_dur_curve:441;hydout_output:454;obj_output:465;wallo_allo_output:472;wallo_trn_output:473;wallo_treat_output:474;wallo_use_output:475;manure_source_output:482;manure_demand_output:483;hru_lte_output:487;hru_output:491;hru_carbon_output:492;wetland_output:494;wet_salt_output:496;wet_cs_output:499;hru_pesticide_output:503;hru_pathogen_output:504;hru_salt_output:507;hru_cs_output:510;soil_nutcarb_write:524;soil_nutcarb_write:527;soil_nutcarb_write:530;soil_nutcarb_write:533;soil_carbvar_write:536;soil_carbvar_write:537;soil_carbvar_write:538;soil_carbvar_write:539;soil_nutcarb_write_legacy:549;soil_nutcarb_write_legacy:550;soil_nutcarb_write_legacy:551;soil_nutcarb_write_legacy:552;soil_nutcarb_write_legacy:553;soil_nutcarb_write_legacy:554;soil_carbvar_write_legacy:559;soil_carbvar_write_legacy:560;soil_carbvar_write_legacy:561;soil_carbvar_write_legacy:562;soil_carbvar_write_legacy:563;soil_carbvar_write_legacy:564;aquifer_output:568;aqu_salt_output:570;aqu_cs_output:573;aqu_pesticide_output:576;channel_output:581;sd_chanmorph_output:585;sd_chanbud_output:586;sd_channel_output:587;cha_pesticide_output:589;ch_salt_output:593;ch_cs_output:596;cs_str_output:600;reservoir_output:605;res_pesticide_output:607;res_salt_output:609;res_cs_output:612;ru_output:619;ru_salt_output:621;ru_cs_output:624;recall_output:629;hydin_output:632;basin_ch_pest_output:634;basin_res_pest_output:635;basin_ls_pest_output:636;basin_aqu_pest_output:637;basin_output:638;lsu_output:639;lsu_carbon_output:640;basin_aquifer_output:641;basin_reservoir_output:643;basin_channel_output:644;basin_chanmorph_output:645;basin_chanbud_output:646;basin_sdchannel_output:647;basin_recall_output:648;salt_balance:656;cs_balance:657
cs_cha_read,subroutine,SWATPLUS/swatplus/src/cs_cha_read.f90,1,,yes,1,main > cs_cha_read,main,main,,0,,,
dr_db_read,subroutine,SWATPLUS/swatplus/src/dr_db_read.f90,1,,yes,1,main > dr_db_read,hyd_connect;main,hyd_connect;main,dr_path_read;dr_read_hmet;dr_read_om;dr_read_pest;dr_read_salt,5,,,dr_read_om:56;dr_read_pest:57;dr_path_read:58;dr_read_hmet:59;dr_read_salt:60
dr_ru,subroutine,SWATPLUS/swatplus/src/dr_ru.f90,1,,yes,1,main > dr_ru,main,main,,0,,,
